ISBN-13;Titre;Langue de l'ouvrage;Nom complet de(s)Auteur(s);Date de parution;Résumé;Genre littéraire
978-2-253-12888-9;La Vie devant soi;Français;Romain Gary;1975-09-14;"Dans le quartier de Belleville, le jeune Momo, un garçon arabe, raconte sa vie chez Madame Rosa, une ancienne prostituée juive rescapée d'Auschwitz, qui s'occupe des enfants des 'filles'.
Une histoire d'amour filial poignante sur fond de misère sociale.";Roman social
978-2-266-31841-3;Pandemia;Français;Franck Thilliez;2015-10-21;"Une épidémie de grippe virulente se propage en France.
Sharko et Henebelle découvrent que le virus a été génétiquement modifié par un groupe de terroristes.
Ils doivent remonter la piste de cette organisation avant que la pandémie ne devienne incontrôlable.";Thriller
978-2-84563-719-1;Central Park;Français;Guillaume Musso;2014-03-27;"Alice, une policière parisienne, et Gabriel, un pianiste de jazz américain, se réveillent menottés l'un à l'autre sur un banc de Central Park.
Ils ne se connaissent pas et n'ont aucun souvenir de leur rencontre.
Ils vont devoir faire équipe pour comprendre.";Thriller
978-2-7096-4113-3;Sur les épaules des géants;Français;Françoise Héritier;2012-09-12;"Dans cet abécédaire personnel, l'anthropologue Françoise Héritier partage ses réflexions sur des thèmes universels comme l'amour, le corps, la violence, la mort.
Un livre qui mêle souvenirs personnels et savoir anthropologique.";Essai
978-2-07-040854-4;La Peste écarlate;Français;Jack London;1912-01-01;"En 2073, un vieil homme raconte à ses petits-enfants comment, soixante ans plus tôt, une terrible épidémie, la 'Peste Écarlate', a anéanti la civilisation en quelques jours.
Un des premiers romans post-apocalyptiques.";Science-Fiction
978-2-330-10141-4;Idiss;Français;Robert Badinter;2018-01-31;"Robert Badinter rend hommage à sa grand-mère maternelle, Idiss, une juive de Bessarabie émigrée en France au début du XXe siècle.
Un récit intime qui retrace le parcours d'une immigrée et la vie de la communauté juive à Paris avant la Shoah.";Récit familial
978-2-226-44020-5;L'inconnue de la Seine;Français;Guillaume Musso;2021-09-21;"Une jeune femme est repêchée dans la Seine, amnésique mais vivante.
Les tests ADN révèlent qu'il s'agit d'une célèbre pianiste morte dans un crash d'avion un an plus tôt.
La capitaine de police Roxane enquête sur ce mystère impossible.";Thriller
978-2-266-24850-5;Le Livre des Baltimore;Français;Joël Dicker;2015-09-30;"Marcus Goldman, héros de 'La Vérité sur l'Affaire Harry Quebert', enquête cette fois sur le passé de sa propre famille et sur le Drame qui a frappé les 'Goldman-de-Baltimore', la branche riche et admirée de sa famille.";Saga familiale
978-2-226-45229-1;Rien ne t'efface;Français;Michel Bussi;2021-02-03;"Dix ans après la mort accidentelle de son fils sur une plage, Maddi revient sur les lieux.
Elle y voit un enfant qui est le portrait craché de son fils disparu.
Persuadée qu'il s'agit de lui, elle s'immisce dans la vie de cette famille.";Thriller psychologique
978-2-07-040212-2;Le Rivage des Syrtes;Français;Julien Gracq;1951-01-01;"Dans la seigneurie d'Orsenna, un jeune homme est envoyé en observation sur une forteresse face au Farghestan, un ennemi avec lequel une guerre est latente depuis des siècles.
Fasciné par ce territoire, il va réveiller le conflit endormi.";Roman poétique
978-2-266-28102-1;Misery;Français;Stephen King;1989-02-01;"Paul Sheldon, un écrivain à succès, est victime d'un accident de voiture.
Il est secouru par Annie Wilkes, son 'admiratrice numéro un'.
Mais lorsqu'elle découvre qu'il a tué son personnage fétiche, elle le séquestre et le force à la ressusciter.";Thriller psychologique
978-2-7578-6554-4;Le sympathisant;Français;Viet Thanh Nguyen;2017-02-08;"Le narrateur, un capitaine de l'armée sud-vietnamienne, est en réalité un espion communiste.
Après la chute de Saïgon en 1975, il suit son général en exil aux États-Unis et continue de transmettre des informations à ses supérieurs.
Un roman sur la dualité et la guerre du Vietnam.";Roman d'espionnage
978-2-226-46648-9;L'Affaire Alaska Sanders;Français;Joël Dicker;2022-03-09;"Onze ans après avoir élucidé un meurtre, le sergent Perry Gahalowood reçoit une lettre anonyme qui le met sur la piste d'une erreur judiciaire.
Avec l'aide de l'écrivain Marcus Goldman, il rouvre l'enquête sur le meurtre d'Alaska Sanders.";Thriller
978-2-330-15674-2;La Décision;Français;Karine Tuil;2022-01-05;"Alma, une juge d'instruction antiterroriste, doit statuer sur le sort d'un jeune homme soupçonné d'avoir rejoint l'État islamique en Syrie.
Le roman explore les dilemmes moraux et les pressions auxquels sont confrontés les juges.";Roman judiciaire
978-2-07-041422-4;Élévation;Français;Stephen King;2019-02-06;"Scott Carey, un habitant de la petite ville de Castle Rock, perd du poids chaque jour sans pour autant maigrir.
Confronté à ce phénomène inexplicable et à sa fin inéluctable, il décide d'utiliser le temps qu'il lui reste pour apaiser les tensions dans sa communauté.";Fantastique
978-2-266-15799-5;La Nuit de l'oracle;Français;Paul Auster;2004-09-02;"Un écrivain, Sidney Orr, achète un carnet bleu qui semble avoir des pouvoirs étranges.
Ce qu'il y écrit commence à se produire dans la réalité, brouillant les frontières entre la fiction et sa propre vie.";Roman
978-2-7491-4424-9;Imparfaits, libres et heureux : Pratiques de l'estime de soi;Français;Christophe André;2006-02-01;"Le psychiatre Christophe André propose des outils et des exercices pratiques pour développer une estime de soi saine et réaliste.
Un guide pour mieux s'accepter, s'affirmer et vivre en harmonie avec soi-même et les autres.";Psychologie
978-2-7578-8125-1;Réinventer l'amour;Français;Mona Chollet;2021-09-08;"Essai qui déconstruit les stéréotypes de genre dans les relations amoureuses.
Mona Chollet analyse comment le patriarcat influence nos conceptions de l'amour, du couple et du désir, et propose des pistes pour des relations plus égalitaires.";Essai féministe
978-2-253-06794-2;Le Prophète;Français;Khalil Gibran;1923-01-01;"Avant de quitter la ville d'Orphalèse, le sage Almustafa répond aux questions des habitants sur les grands thèmes de la vie : l'amour, le mariage, le travail, la joie, la tristesse...
Un recueil de poèmes en prose sur la spiritualité.";Poésie philosophique
978-2-266-26791-9;Le premier miracle;Français;Gilles Legardinier;2016-10-03;"Un historien britannique et une enquêtrice des services secrets français font équipe pour percer les secrets d'un site archéologique mystérieux lié aux Templiers.
Une course contre la montre pour empêcher une découverte de tomber entre de mauvaises mains.";Aventure
978-2-266-18194-9;Windows on the World;Français;Frédéric Beigbeder;2003-08-20;"Le roman raconte la dernière heure et demie de la vie d'un homme et de ses deux fils, au restaurant 'Windows on the World' au sommet de la tour Nord du World Trade Center, le 11 septembre 2001.";Roman
978-2-02-142288-8;Congo;Français;Éric Vuillard;2012-08-23;"Récit de la Conférence de Berlin de 1885 qui a acté le partage de l'Afrique par les puissances coloniales.
Une fresque historique qui dénonce la violence et la cupidité de la colonisation au Congo.";Récit historique
978-2-266-31842-0;Labyrinthes;Français;Franck Thilliez;2022-05-04;"Une femme est retrouvée amnésique près d'un cadavre, un scalpel à la main.
Pour l'innocenter, une psychiatre, un policier et une ravisseuse doivent assembler les pièces d'un puzzle machiavélique.
Un thriller construit comme un jeu de miroirs.";Thriller
978-2-266-16788-2;Le Livre du voyage;Français;Bernard Werber;1997-10-01;"Un guide pratique et philosophique pour explorer son propre esprit à travers des techniques de méditation et de visualisation.
Le livre propose un voyage intérieur pour mieux se connaître et découvrir ses potentiels cachés.";Spiritualité
978-2-7096-4554-4;L'amie prodigieuse, Tome 3 : Celle qui fuit et celle qui reste;Français;Elena Ferrante;2016-01-20;"Elena, devenue une écrivaine reconnue, et Lila, qui travaille dans une usine dans des conditions difficiles, continuent leurs trajectoires opposées dans l'Italie des années 70, marquée par les luttes sociales et le terrorisme.";Roman d'apprentissage
